id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,zona_ciudad,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
2895-M3377009,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-4-habitaciones-4-banos/2895-M3377009,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2252675655,-75.5958491082,Apartamento,180.0,4.0,4,0,4,Usado,Entre 10 y 20 años,380000000,,2024-11-26T00:22:53.000Z,2025-08-20T13:04:22.000Z,2022-04-13T04:02:18.000Z,
2895-M4790431,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-san-bernardo-3-habitaciones-2-banos/2895-M4790431,Colombia,Antioquia,Medellín,SAN BERNARDO,,,6.2268460465,-75.5955934525,Casa,106.0,3.0,2,0,3,Usado,Entre 5 y 10 años,390000000,,2025-08-14T03:10:08.000Z,2025-08-20T13:04:22.000Z,2024-02-05T16:50:11.000Z,
3267-M5819064,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-las-playas-5-habitaciones-1-banos/3267-M5819064,Colombia,Antioquia,Medellín,LAS PLAYAS,,Suroccidente,6.22157,-75.59283,Apartamento,105.56,5.0,1,0,3,Usado,Más de 20 años,400000000,,2025-08-15T03:10:08.000Z,2025-08-20T12:24:17.000Z,2025-06-18T15:38:40.000Z,
3267-M5623601,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-2-banos/3267-M5623601,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.22833,-75.5948,Apartamento,51.0,3.0,2,0,4,Usado,Entre 10 y 20 años,235000000,,2025-04-04T16:08:04.000Z,2025-08-20T12:24:17.000Z,2025-03-05T11:15:53.000Z,
3267-M5945845,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-granada-3-habitaciones-2-banos/3267-M5945845,Colombia,Antioquia,Medellín,BELEN GRANADA,,,6.2293,-75.59203,Apartamento,82.5,3.0,2,0,4,Usado,Más de 20 años,450000000,100000.0,2025-08-16T03:10:09.000Z,2025-08-20T12:24:17.000Z,2025-07-18T11:09:51.000Z,
3267-M5968985,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-belen-3-habitaciones-2-banos-1-garajes/3267-M5968985,Colombia,Antioquia,Medellín,BELEN,,,6.22588,-75.59521,Apartamento,120.0,3.0,2,1,4,Usado,Entre 10 y 20 años,550000000,,2025-07-31T11:59:20.000Z,2025-08-20T12:24:17.000Z,2025-07-31T11:59:20.000Z,
277-M5994794,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-casa-medellin-belen-las-playas-4-habitaciones-2-banos/277-M5994794,Colombia,Antioquia,Medellín,BELEN LAS PLAYAS,,,6.2223600707,-75.5928453202,Casa,95.0,4.0,2,0,3,Usado,Entre 10 y 20 años,515000000,,2025-08-14T19:07:47.000Z,2025-08-20T00:26:24.000Z,2025-08-14T19:07:47.000Z,
16974-M5727338,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-urbanizacion-cazadiana-3-habitaciones-2-banos-1-garajes/16974-M5727338,Colombia,Antioquia,Medellín,URBANIZACION CAZADIANA,,Suroccidente,6.2185884031,-75.5972683608,Apartamento,77.0,3.0,2,1,3,Usado,Entre 10 y 20 años,400000000,323000.0,2025-07-26T03:10:42.000Z,2025-08-20T15:10:53.000Z,2025-04-30T07:44:02.000Z,
16974-M5584459,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-san-bernardo-3-habitaciones-1-banos/16974-M5584459,Colombia,Antioquia,Medellín,SAN BERNARDO,,Suroccidente,6.2283007,-75.5948737,Apartamento,53.0,3.0,1,0,4,Usado,Entre 10 y 20 años,235000000,,2025-07-29T03:10:15.000Z,2025-08-20T15:10:53.000Z,2025-02-13T08:27:32.000Z,
16974-M5727212,metrocuadrado,https://www.metrocuadrado.com.co/inmueble/venta-apartamento-medellin-las-playas-3-habitaciones-1-banos/16974-M5727212,Colombia,Antioquia,Medellín,LAS PLAYAS,,Suroccidente,6.2205178733,-75.5955744778,Apartamento,70.0,3.0,1,0,3,Usado,Entre 10 y 20 años,320000000,,2025-07-26T03:10:42.000Z,2025-08-20T15:10:53.000Z,2025-04-30T07:27:14.000Z,
