id_inmueble,id_plataforma,url_anuncio,pais,departamento,ciudad,barrios,direccion,zona_ciudad,latitud,longitud,tipo_propiedad,area_total_m2,num_habitaciones,num_banos,num_parqueaderos,estrato,estado,antiguedad_construccion,precio_venta,precio_administracion,fecha_publicacion,fecha_actualizacion,fecha_ingreso,nombre_contacto
11034248,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/11034248,Colombia,Antioquia,Medellín,"Diego echavarria, Belen Las Playas, Belén, Urbanizacion cazadiana, ","Cra. 75 #2B sur -35, Medellín, Belén, Medellín, Antioquia, Colombia",,6.2188643,-75.5975059,Apartamento,64.0,3,2,1,4,Usado,4.0,420000000,0,2024-07-07,2025-07-02,2024-07-07,Houm
11070091,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-medellin/11070091,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belen Las Playas, Belén, ",Calle 13 # 75-83 apto 402 bloque 53,,6.2205178733341,-75.595574477793,Apartamento,70.0,3,1,0,3,Usado,3.0,320000000,0,2024-07-25,2025-07-02,2024-07-25,Viva Inmobiliaria Asociados
191491135,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/191491135,Colombia,Antioquia,Medellín,"Diego echavarria, Rodeo Alto, Belén, La mota, Belen Las Playas, Urbanizacion sorrento, ",CARRERA 76   9AA- 48,,6.219419,-75.5988764,Apartamento,96.0,3,3,0,4,Usado,3.0,350000000,0,2024-09-26,2025-07-03,2024-09-26,Arrendamientos Envigado
192055536,fincaraiz,https://www.fincaraiz.com.co/bodega-en-venta-en-belen-medellin/192055536,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ","Cra. 74 #24-16, Medellín, Belén",,6.2272169475274,-75.594601030891,Bodega,550.0,0,2,2,3,Usado,4.0,2400000000,0,2025-02-21,2025-07-07,2025-02-21,RHBRAIZ
191837483,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/191837483,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, Aeroparque juan pablo ii, ",CR 70 A 26 34 INT 301,,6.2264978,-75.5918504,Apartamento,98.0,3,1,0,3,Nuevo,0.0,365000000,0,2025-01-02,2025-07-11,2025-01-02,Arrendamientos El Castillo S.A.S
191997871,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/191997871,Colombia,Antioquia,Medellín,"El Poblado, Belén Aliadas, Belen Las Playas, Belén, Belén San Bernardo, La gloria, ",Calle 16 # 40-140,,6.2223342,-75.5984889,Apartamento,165.0,3,3,2,6,Usado,4.0,970000000,870000,2025-02-10,2025-07-04,2025-02-10,NICOLAS PEREZ PROPIEDAD RAIZ
191691822,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/191691822,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CR 74 A 26 78,,6.2276482,-75.5951061,Apartamento,63.0,3,1,0,3,Nuevo,0.0,235000000,0,2024-11-16,2025-08-03,2024-11-16,Activos Y Bienes SAS
192731968,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/192731968,Colombia,Antioquia,Medellín,"Belén, Granada, Belén San Bernardo, ",CR 74 A 26 78 PISO 5,,6.2281296,-75.5949847,Apartamento,53.0,3,1,0,3,Usado,1.0,238000000,0,2025-08-08,2025-08-08,2025-08-08,Merino Hermanos y Cía Ltda.
191507562,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-medellin/191507562,Colombia,Antioquia,Medellín,"Urbanizacion rafael uribe uribe, Belen Las Playas, Belén, Belén San Bernardo, ",Carrera 71 # 18 31,,6.2228476,-75.5933121,Apartamento,180.0,4,3,0,3,Usado,5.0,435000000,0,2024-09-30,2025-07-03,2024-09-30,Grupo Empresarial Mi
192564186,fincaraiz,https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-san-bernardo-medellin/192564186,Colombia,Antioquia,Medellín,"Belén, Belén San Bernardo, ",CL 24A # 71 - 41,,6.2256065833245,-75.59271230734,Apartamento,67.0,2,1,0,3,Usado,4.0,200000000,0,2025-06-24,2025-08-13,2025-06-24,INVERSIONES INMOBIENES
