#,id_inmueble,Plataforma,Link,Duplicado,Ciudad,Barrio,Está en el barrio?,Dónde está?,Direccion,Tipo propiedad,Precio venta,área m2,Valor m2,Valor m2 actualizado,Remodelado,Desv reformados,Resultado,Propiedad horizontal,Piso,Ascensor,# Habitaciones,# baños,Red gas,Zona ropas,# Parquead,Fecha actual,Fecha publicación,Agencia,Contacto,COMENTARIOS
18,3435165,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3435165,,Medellín,SAN BERNARDO,,,Calle 24 No. 71a - 21,Casa,560000000.0,130.0,4307692.307692308,,False,,,,,,4,2.0,,,2,,2025-08-05T16:46:16.000Z,,VIVIENDO GRUPO INMOBILIARIO,
19,3357238,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3357238,,Medellín,SAN BERNARDO,,,Cll23 #71A-80 ,Casa,500000000.0,115.0,4347826.0869565215,,False,,,,,,4,2.0,,,0,,2025-05-26T16:19:28.000Z,,DEHER HOME INMOBILIARIA,
20,3202850,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3202850,,Medellín,SAN BERNARDO,,,Calle  24 # 71 A 21,Casa,535000000.0,90.0,5944444.444444444,,False,,,,,,3,2.0,,,1,,2024-12-19T12:39:36.000Z,,CITY RAIZ S.A.S,
21,3342736,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-san-bernardo-medellin-3342736,,Medellín,SAN BERNARDO,,,CR 79 A 23 20 INT 201,Casa,365000000.0,142.0,2570422.5352112674,,False,,,,,,4,1.0,,,0,,2025-05-14T09:20:00.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
22,2528349,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-2528349,,Medellín,LAS PLAYAS,,,CARRERA 72   13A- 06,Apartamento,250000000.0,45.0,5555555.555555556,,False,,,,,,3,0.0,,,1,,2022-11-11T10:44:33.000Z,,Arrendamientos Panorama Belen,
23,3345884,ciencuadras,https://www.ciencuadras.com/inmueble/local-en-venta-en-diego-echavarria-medellin-3345884,,Medellín,DIEGO ECHAVARRIA,,,DIAGONAL 75B 2A- 10,Local,1850000000.0,259.0,7142857.142857143,,False,,,,,,0,2.0,,,1,,2025-05-16T10:10:36.000Z,,JCO INVERSIONES SAS,
24,3444478,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-o-venta-en-las-playas-medellin-3444478,,Medellín,LAS PLAYAS,,,CR 60 50 25 PISO 1,Apartamento,4000000000.0,60.0,66666666.666666664,,False,,,,,,2,2.0,,,0,,2025-08-16T11:17:20.000Z,,ARRENDAMIENTOS EL CASTILLO S.A.S.,
25,3215344,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3215344,,Medellín,LAS PLAYAS,,,CR 75 DA 02 B SUR 320 AP 328 TORRE 7,Apartamento,485000000.0,66.0,7348484.848484849,,False,,,,,,3,2.0,,,0,,2025-01-15T10:29:52.000Z,,TU ESPACIO INMOBILIARIO  S A S,
26,3296856,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3296856,,Medellín,LAS PLAYAS,,,CL 13 A 71 A 40,Casa,430000000.0,125.0,3440000.0,,False,,,,,,4,1.0,,,0,,2025-04-03T08:19:11.000Z,,ARRENDAMIENTOS INTEGRIDAD,
27,3391915,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3391915,,Medellín,LAS PLAYAS,,,CR 75 28 27 AP 201,Casa,460000000.0,161.0,2857142.8571428573,,False,,,,,,4,5.0,,,0,,2025-06-26T11:59:40.000Z,,ACTIVOS & BIENES S.A.S,
28,3344455,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3344455,,Medellín,LAS PLAYAS,,,CR 70 14 35 CS 3,Casa,520000000.0,160.0,3250000.0,,False,,,,,,5,2.0,,,0,,2025-05-15T10:45:12.000Z,,Inmobiliaria y Valores La Villa,
29,3058314,ciencuadras,https://www.ciencuadras.com/inmueble/casa-en-venta-en-las-playas-medellin-3058314,,Medellín,LAS PLAYAS,,,CL 12 73 38 BL 41 CS 202,Casa,390000000.0,80.0,4875000.0,,False,,,,,,3,2.0,,,0,,2024-08-02T15:28:30.000Z,,INMOBILIARIA TRIANON S.A.S,
30,3338747,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3338747,,Medellín,LAS PLAYAS,,,"Las Playas, Medellín, Belén, Medellín, Antioquia, Colombia",Apartamento,430000000.0,96.0,4479166.666666667,,False,,,,,,4,2.0,,,0,,2025-05-09T17:34:56.000Z,,RED DE INVERSIONES INMOBILIARIAS,
31,3382916,ciencuadras,https://www.ciencuadras.com/inmueble/apartamento-en-venta-en-las-playas-medellin-3382916,,Medellín,LAS PLAYAS,,,calle 16 # 70-48,Apartamento,400000000.0,105.0,3809523.8095238097,,False,,,,,,5,1.0,,,0,,2025-06-18T15:38:45.000Z,,MATTIS INMOBILIARIA,
